name,market,funding_amount,status,country,region,funding_rounds,founded_at,first_funding_at,last_funding_at
0xdata, Analytics ,10600000,operating,USA,SF Bay Area,2,1293840000,1357171200,1405728000
1000 Corks, Search ,40000,operating,USA,Portland. Oregon,1,1199145600,1314057600,1314057600
1000memories, Curated Web ,2535000,acquired,USA,SF Bay Area,2,1277942400,1262304000,1297814400
1000museums.com, Curated Web ,4462651,operating,USA,Omaha,4,1199145600,1255478400,1389744000
1001 Menus, Restaurants ,4059079,operating,FRA,Paris,4,1290211200,1355529600,1384300800
1006.tv, Media ,10000000,operating,CHN,Beijing,3,1230768000,1293840000,1406764800
100Plus, Analytics ,1250000,acquired,USA,SF Bay Area,2,1316131200,1320192000,1322611200
1010data, Software ,35000000,operating,USA,New York City,1,946684800,1268006400,1268006400
10-20 Media, E-Commerce ,2050000,operating,USA,Baltimore,4,978307200,1245283200,1325030400
10BestThings, Curated Web ,50000,closed,USA,Cleveland,1,1238544000,1238544000,1238544000
10seconds Software, Mobility ,100000,operating,AUS,Sydney,1,1246406400,1277942400,1277942400
10X10 Room, Software ,77500,operating,USA,Lexington,1,1262304000,1318377600,1318377600
10X Technologies, Biotechnology ,3000000,operating,USA,SF Bay Area,1,1325376000,1352246400,1352246400
121cast, Mobile ,270000,operating,AUS,Melbourne,2,1328054400,1335830400,1352764800
121nexus, Pharmaceuticals ,794000,operating,USA,Providence,6,1317945600,1328486400,1388534400
1234ENTER, Advertising ,650267,operating,ITA,Piemonte,2,1325376000,1346457600,1385078400
1.2.3 Listo, E-Commerce ,40000,operating,CHL,Santiago,1,1325376000,1361145600,1361145600
1248, Software ,378812,operating,GBR,London,1,1356998400,1395100800,1395100800
1366 Technologies, Manufacturing ,66450000,operating,USA,Boston,8,1167609600,1206576000,1386806400
140Fire, Entertainment ,500000,operating,USA,Los Angeles,1,1262304000,1273017600,1273017600
140 Proof, Advertising ,5500000,operating,USA,SF Bay Area,2,1263168000,1246406400,1303948800
15Five, Software ,1200000,operating,USA,SF Bay Area,2,1304208000,1325376000,1358208000
169 ST., Games ,50000,closed,USA,Orlando,1,1242345600,1243814400,1243814400
16 Mile Solutions, Software ,199957,operating,USA,Seattle,1,1136073600,1244678400,1244678400
170 Systems, Software ,14000000,acquired,USA,Boston,1,631152000,1018915200,1018915200
17u.cn, Travel ,84440319,operating,CHN,Shanghai,3,1072915200,1199145600,1391212800
1-800-DOCTORS, Health and Wellness ,1750000,operating,USA,Newark,1,441763200,1299024000,1299024000
19pay, Finance ,9478511,operating,CHN,Beijing,3,1104537600,1136073600,1372636800
1calendar, Education ,40000,operating,DNK,Copenhagen,1,1232323200,1207267200,1207267200
1DayMakeover, E-Commerce ,50000,closed,USA,Orange County. California,1,1214784000,1214784000,1214784000
1Energy Systems, Software ,1450000,operating,USA,Seattle,1,1262304000,1366588800,1366588800
1Mind, Social Media ,500000,operating,USA,Manchester. New Hampshire,1,1293840000,1375660800,1375660800
1SDK, Monetization ,19299,operating,DEU,Berlin,1,1346457600,1375660800,1375660800
1spire, Manufacturing ,30000,operating,USA,Houston,1,1317427200,1324339200,1324339200
1stdibs, E-Commerce ,117000000,operating,USA,New York City,4,978307200,1320278400,1390521600
1stGig.com, E-Commerce ,750000,operating,USA,Albany. NY,1,1249084800,1349049600,1349049600
1World Online, Enterprise Software ,1500000,operating,USA,SF Bay Area,2,1322697600,1372723200,1385856000
20/20 Gene Systems Inc., Biotechnology ,150000,operating,USA,Washington D.C.,1,957139200,1348531200,1348531200
20:20 Mobile, Mobile ,29750000,operating,IRL,Offaly,1,1157068800,1215129600,1215129600
2080 Media, News ,41000000,operating,USA,Atlanta,5,1199145600,1280966400,1374192000
20lines, Curated Web ,1236454,operating,ITA,Roncade,3,1325376000,1352937600,1401580800
20x200, Art ,2800000,operating,USA,New York City,2,1188604800,1254355200,1280620800
21Cake Food Co., Manufacturing ,1464128,operating,CHN,Beijing,1,1072915200,1264118400,1264118400
21viaNet, Software ,100000000,operating,CHN,Beijing,2,1255651200,1354320000,1380585600
22seeds, Software ,250000,operating,ISR,Tel Aviv,1,1262304000,1381795200,1381795200
2345.com, Software ,1610541,operating,CHN,Shanghai,2,1125532800,1272672000,1285891200
23andMe, Biotechnology ,111949900,operating,USA,SF Bay Area,6,1143849600,1177977600,1406592000
23press, Blogging Platforms ,50000,operating,CAN,Toronto,1,1306886400,1313366400,1313366400
248 SolidState, None ,500000,operating,USA,Los Angeles,1,1167609600,1248307200,1248307200
24M Technologies, Clean Technology ,16000000,operating,USA,Boston,1,1262304000,1281916800,1281916800
24PageBooks, Software ,50000,closed,USA,Rochester. MN,1,1262304000,1306195200,1306195200
24x7 Learning, Education ,4000000,operating,IND,Bangalore,1,978307200,1194307200,1194307200
265 Network, Software ,2000000,operating,CHN,Beijing,1,1072915200,1101859200,1101859200
27 Perry, E-Commerce ,118000,operating,USA,Denver,1,1343174400,1337212800,1337212800
28msec, Software ,5844811,operating,USA,SF Bay Area,1,1199145600,1382918400,1382918400
2C2P, Software ,3000000,operating,THA,Krung Thep,3,1199145600,1293840000,1401753600
2can, Mobile ,7000000,operating,RUS,Moscow,2,1334188800,1346457600,1396224000
2Catalyze, Software ,6785876,operating,CAN,Toronto,1,1199145600,1282694400,1282694400
2CRisk, Software ,383000,operating,AUS,Brisbane,2,1277942400,1270080000,1349827200
2degreesmobile, Mobile ,165000000,operating,NZL,Auckland,1,1230768000,1371513600,1371513600
2DOLife.com, Software ,250000,operating,USA,SF Bay Area,1,1322697600,1384041600,1384041600
2GO Mobile Solutions, Software ,275000,operating,USA,Dallas,1,1199145600,1270771200,1270771200
2houses, Curated Web ,966728,operating,BEL,Brussels,2,1304208000,1312761600,1352419200
2 Minutes, Games ,1660000,operating,FRA,Paris,1,970358400,1213833600,1213833600
2nd Story Software. Inc., Software ,85000000,acquired,USA,Cedar Rapids,1,887500800,1112140800,1112140800
2nd Watch, Corporate IT ,27644420,operating,USA,Seattle,3,1262304000,1323129600,1383609600
2threads, Art ,300000,operating,AUS,Sydney,2,1083369600,1185926400,1212278400
2U, Software ,95875000,operating,USA,Baltimore,6,1199145600,1237939200,1382313600
2Vancouver, Navigation ,80000,operating,CAN,Vancouver,1,1327449600,1306886400,1306886400
30 Second Showcase, Photography ,25000,operating,USA,Newark,1,1364774400,1369008000,1369008000
31Dover, Wine And Spirits ,2274716,operating,GBR,London,1,1341100800,1393632000,1393632000
33Across, Advertising ,25654560,operating,USA,New York City,5,1188604800,1233878400,1342656000
360fly. Inc., Consumer Electronics ,17800000,operating,USA,Pittsburgh,1,883612800,1407715200,1407715200
360Guanxi, Life Sciences ,5000000,operating,CHN,Shanghai,1,946684800,1243814400,1243814400
360incentives.com, Software ,7650000,operating,CAN,Toronto,1,1199145600,1358208000,1358208000
360Learning, Education ,1543920,operating,FRA,Paris,1,1262304000,1380499200,1380499200
360pi, Artificial Intelligence ,4100000,operating,CAN,Ottawa,2,1183248000,1334880000,1376784000
365Scores, Sports ,1200000,operating,JPN,Kochi,1,1199145600,1359331200,1359331200
36Kr, Social Media ,1573976,operating,CHN,Beijing,2,915148800,1301616000,1341100800
37coins, Bitcoin ,25000,operating,USA,SF Bay Area,1,1388534400,1394841600,1394841600
382 Communications, Mobile ,1600000,operating,USA,Boston,1,1262304000,1326412800,1326412800
3BaysOver, Online Travel ,1719643,operating,CHE,Geneva,2,1312156800,1312156800,1404950400
3CI, Biotechnology ,133620,operating,ITA,Bolzano,1,1199145600,1293840000,1293840000
3ClickEMR Corporation, Electronic Health Records ,500000,closed,USA,Boston,2,1277251200,1277251200,1306886400
3CLogic, Customer Service ,5740000,operating,USA,Washington D.C.,2,1104537600,1358121600,1393891200
3C Plus, Web Development ,75000,operating,BRA,Curitiba,1,1357776000,1357776000,1357776000
3D Biomatrix, Biotechnology ,1465000,operating,USA,Detroit,1,1262304000,1360022400,1360022400
3dCart Shopping Cart Software, E-Commerce ,1250000,operating,USA,Ft. Lauderdale,1,862444800,1262304000,1262304000
3D FUTURE VISION II, Games ,503000,closed,USA,Orlando,2,1293840000,1308700800,1363824000
3D Hubs, 3D Printing ,4500000,operating,NLD,Amsterdam,2,1364774400,1377561600,1409616000
3D Industri.es, 3D ,1200000,operating,USA,Cincinnati,2,1293840000,1330560000,1362096000
3DiVi Company, Software ,2670000,operating,RUS,Chelyabinsk,2,1301616000,1293840000,1349049600
3D Robotics, Manufacturing ,35000000,operating,USA,San Diego,2,1230768000,1352073600,1378944000
3DSoC, Mobile ,2065000,operating,IND,Bangalore,2,1149120000,1196467200,1280620800
3D Sports Technology, Software ,909940,operating,USA,Twin Cities,3,1262304000,1295568000,1374710400
3D Systems, Software ,19500000,operating,USA,Rock Hill,2,504921600,1389744000,1397606400
3d Vision Systems, Hardware + Software ,150000,operating,USA,Detroit,1,1230768000,1354492800,1354492800
3FLOZ, Health and Wellness ,750000,operating,USA,New York City,1,1257033600,1376611200,1376611200
3Gear Systems, Software ,2249999,operating,USA,SF Bay Area,2,1325376000,1333065600,1396396800
3G Multimedia, Mobile ,1700000,operating,HUN,Budapest,1,1252972800,1293840000,1293840000
3Guppies, Music ,20000000,operating,USA,Seattle,1,1041379200,1144195200,1144195200
3GV8 International Inc, Mobile ,746185,operating,CHN,Beijing,2,1120176000,1141171200,1170288000
3i Systems, Semiconductors ,13708150,operating,CHN,Guangdong,3,1162339200,1187568000,1267401600
3Jam, Messaging ,4000000,operating,USA,SF Bay Area,1,1104537600,1183248000,1183248000
3Leaf, Web Hosting ,65000000,acquired,USA,SF Bay Area,3,1086048000,1104537600,1222041600
3Pillar Global, Software ,25920000,operating,USA,SF Bay Area,4,1154390400,1264723200,1370476800
3Play Media, Software ,1011601,operating,USA,Boston,3,1167609600,1265587200,1319155200
3ROAM, Mobile ,1394250,operating,FRA,Nice,1,1104537600,1226620800,1226620800
3scale, Developer APIs ,5000000,operating,ESP,Barcelona,2,1196467200,1271721600,1366761600
3Scan, Biotechnology ,390000,operating,USA,SF Bay Area,3,1293840000,1314748800,1373932800
3seventy, Software ,2000000,operating,USA,Austin,1,1199145600,1313712000,1313712000
3sun, Clean Technology ,15152514,operating,GBR,Norfolk,1,1167609600,1393804800,1393804800
3TIER, Clean Technology ,15000000,acquired,USA,Seattle,3,915148800,1188950400,1267056000
3Touch, Software ,272000,closed,IRL,Westmeath,1,1041379200,1177977600,1177977600
3-V Biosciences, Biotechnology ,78089000,operating,USA,SF Bay Area,4,1172707200,1247184000,1371772800
3X Systems, Flash Storage ,3393925,operating,USA,Atlanta,2,1193875200,1203465600,1274832000
40billion.com, Entrepreneur ,1050000,operating,USA,Atlanta,3,1201046400,1207008000,1275350400
410 Labs, Messaging ,750000,operating,USA,Baltimore,1,1262304000,1310342400,1310342400
41st Parameter, Security ,38064570,acquired,USA,SF Bay Area,4,1072915200,1147046400,1334102400
422 Group, Software ,1000000,operating,USA,Atlanta,1,1072915200,1276560000,1276560000
42Floors, Commercial Real Estate ,17400000,operating,USA,SF Bay Area,4,1293840000,1314835200,1359590400
480 Biomedical, Biotechnology ,37956999,operating,USA,Boston,3,1293840000,1329177600,1365724800
4Cable TV, Clean Technology ,20900,operating,USA,Myrtle Beach,1,1104537600,1381104000,1381104000
4DK Technologies, Mobile ,3378975,operating,USA,Washington D.C.,1,1104537600,1323648000,1323648000
4Home, Cloud Computing ,9416354,acquired,USA,SF Bay Area,6,1136073600,1154390400,1265155200
4INFO, Advertising ,70288000,operating,USA,SF Bay Area,8,1072915200,1109635200,1406851200
4moms, Hardware + Software ,20000000,operating,USA,Pittsburgh,5,1104537600,1118966400,1344470400
4Soils, Kids ,50000,operating,USA,SF Bay Area,1,1325376000,1377475200,1377475200
4Tech, Biotechnology ,7000000,operating,USA,Bangor,1,1293840000,1324425600,1324425600
4-Tell, E-Commerce ,2234979,operating,USA,Washington,5,1238544000,1309478400,1374796800
4th aspect, Advertising ,1121081,operating,GBR,Sunderland Bridge,4,1268179200,1299715200,1376524800
4 the stars, Networking ,1000,operating,BWA,South-East,1,1373587200,1400025600,1400025600
4vets, Pets ,762500,operating,BRA,Sao Paulo,1,1375315200,1377734400,1377734400
500Friends, E-Commerce ,12900000,operating,USA,SF Bay Area,6,1262304000,1260835200,1363046400
500px, Photography ,9325000,operating,CAN,Toronto,2,1254355200,1307059200,1375833600
5173.com, E-Commerce ,9300000,operating,CHN,Zhejiang,3,1036108800,1078099200,1196467200
51aiya.com, Health Care ,389673,operating,CHN,Shenzhen,1,1325376000,1375315200,1375315200
51.com, Software ,27000000,operating,CHN,Shanghai,3,1104537600,1146441600,1183248000
51Talk, Education ,10100000,operating,CHN,Beijing,3,1293840000,1322697600,1385856000
51wan, Games ,1500000,operating,CHN,Beijing,2,1185926400,1207008000,1280620800
55social, Software ,3000000,operating,ITA,Piemonte,1,1310601600,1320105600,1320105600
55tuan.com, E-Commerce ,200000000,operating,CHN,Beijing,2,1268611200,1291161600,1309478400
56.com, Photography ,30000000,acquired,CHN,Guangzhou,2,1112313600,1180656000,1196467200
58.com, Software ,876780000,operating,CHN,Jilin,6,1104537600,1138752000,1403827200
5app, Web Design ,5100000,operating,GBR,London,1,1293840000,1402531200,1402531200
5 CUPS and some sugar, Curated Web ,385980,operating,DEU,Berlin,1,1325376000,1374537600,1374537600
5 examples, Software ,250000,operating,USA,Raleigh,1,1072915200,1279065600,1279065600
5min Media, Video ,12800000,acquired,USA,New York City,3,1167609600,1175385600,1248307200
5minutes, Social Media ,15873,operating,GBR,London,1,1300492800,1332115200,1332115200
5o9, Software ,50000,operating,USA,Denver,1,1136073600,1368489600,1368489600
5 O'Clock Records, Software ,440000,operating,USA,New York City,2,1325376000,1332979200,1357603200
5Rocks, Games ,3987693,acquired,KOR,Seoul,2,1371513600,1283299200,1378166400
5 Star Mobile, Consumer Electronics ,180000,operating,USA,Ft. Lauderdale,1,1374537600,1392854400,1392854400
5th Avenue Media, Distribution ,250000,operating,USA,New York City,1,1341360000,1346544000,1346544000
5th Finger, Mobile ,7000000,operating,USA,SF Bay Area,1,1199145600,1213315200,1213315200
5to1, Internet Marketing ,17129760,acquired,USA,Seattle,4,1230768000,1245196800,1289347200
60mo, Finance ,1300000,acquired,GBR,Edinburgh,3,1243814400,1246233600,1295395200
640 Labs, Software ,2700000,operating,USA,Chicago,1,1356998400,1404691200,1404691200
64 Pixels, Curated Web ,100000,operating,USA,SF Bay Area,1,1285891200,1285891200,1285891200
6connect, Web Hosting ,2000000,operating,USA,SF Bay Area,1,1230768000,1314057600,1314057600
6fusion, Enterprise Software ,17800000,operating,USA,Raleigh,4,1199145600,1282521600,1402444800
6Sense, Predictive Analytics ,12000000,operating,USA,SF Bay Area,1,1356998400,1400457600,1400457600
6th Sense Analytics, Software ,6700000,acquired,USA,Raleigh,2,1072915200,1131667200,1170201600
6Waves, Games ,52588928,acquired,HKG,Hong Kong Island,2,1212278400,1264032000,1312416000
71lbs, Small and Medium Businesses ,2450000,operating,USA,Ft. Lauderdale,5,1299110400,1332201600,1402185600
77 Pieces, Curated Web ,650000,closed,NZL,Wellington,1,1274745600,1298937600,1298937600
7AC Technologies, Clean Technology ,9860000,operating,USA,Boston,4,1230768000,1323734400,1387497600
7billionideas, Social Media ,47566,operating,JPN,Kochi,1,1293840000,1333756800,1333756800
7 Billion People, E-Commerce ,6528902,closed,USA,Austin,3,1136073600,1234137600,1342137600
7digital, Music ,20100000,acquired,GBR,London,4,1072915200,1125532800,1385337600
7k7k.com, Games ,1136548,operating,CHN,Beijing,1,1041379200,1272672000,1272672000
7mb Technologies, Software ,460775,operating,USA,Seattle,2,1356998400,1382918400,1405900800
7 Oaks Pharmaceutical, Biotechnology ,1613014,operating,USA,Greenville - Spartanburg,1,852076800,1307318400,1307318400
7Road, Games ,3989751,operating,CHN,Shenzhen,3,1199145600,1241136000,1293840000
7signal Solutions, Web Hosting ,9850000,operating,USA,Akron - Canton,4,1136073600,1293840000,1381795200
7Summits, SEO ,600000,operating,USA,Milwaukee,2,1238544000,1262304000,1387411200
7write, Publishing ,269260,operating,NLD,Amsterdam,2,1362096000,1364860800,1372118400
800APP, Web Hosting ,34000000,operating,CHN,Beijing,3,1087948800,1199145600,1316563200
800razors, E-Commerce ,100000,operating,USA,Southern Md Facility,1,1325376000,1361232000,1361232000
80th Street Residence FACC Fund I, Health and Wellness ,5100000,operating,USA,Anaheim,1,1293840000,1321574400,1321574400
8bit, Content Discovery ,140000,operating,GBR,London,2,1391212800,1391212800,1407196800
8 Securities, Personal Finance ,21500000,operating,HKG,Hong Kong Island,4,1337558400,1325635200,1406937600
8thBridge, E-Commerce ,15590000,acquired,USA,Twin Cities,3,1225497600,1258329600,1300665600
8tracks Radio, Music ,2779980,operating,USA,SF Bay Area,2,1218153600,1351209600,1409184000
8Trip, Travel ,24600000,operating,CHN,Shanghai,1,1293840000,1384300800,1384300800
8villages, Mobile ,150000,operating,SGP,Central Region,1,1306886400,1385856000,1385856000
8x8 Inc, Telecommunications ,30608728,acquired,USA,SF Bay Area,1,536457600,1317600000,1317600000
9+, Consulting ,4500000,operating,USA,SF Bay Area,2,1356998400,1373500800,1378166400
908 Devices, Manufacturing ,15100000,operating,USA,Boston,2,1325376000,1346803200,1377561600
90sec Technologies, Television ,100000,operating,ISR,Tel Aviv,1,1372550400,1377993600,1377993600
91 Wireless, Mobile ,30000000,acquired,CHN,Fuzhou Shi,1,1283299200,1322697600,1322697600
99Bill, Payments ,81574271,operating,CHN,Shanghai,4,1104537600,1146009600,1355875200
99designs, Design ,35000000,operating,USA,SF Bay Area,1,1201824000,1303948800,1303948800
99dresses, Fashion ,105651,operating,AUS,Sydney,2,1262304000,1333065600,1338508800
99Presents, E-Commerce ,20000,operating,IND,Vadodara,1,1332201600,1346457600,1346457600
99tests, Software ,210000,operating,IND,Bangalore,3,1297641600,1291161600,1374451200
9car Technology LLC, Automotive ,80000,closed,CHN,Beijing,2,1258502400,1258502400,1262736000
9DIAMOND, E-Commerce ,9600000,operating,CHN,Shanghai,2,1109635200,1104537600,1199145600
9facts, SEO ,70000,closed,RUS,Perm,1,1304208000,1304208000,1304208000
9Flava, Advertising ,1432051,operating,KOR,Seoul,3,1317427200,1329436800,1358294400
9Lenses, SaaS ,4100000,operating,USA,Sterling,2,1293840000,1378944000,1383004800
9Mile Labs, Software ,900000,operating,USA,Seattle,1,1356998400,1383523200,1383523200
9SLIDES, Enterprise Software ,925000,operating,USA,Seattle,2,1275350400,1369872000,1380758400
9Star Research, Software ,435400,operating,USA,Austin,1,1009843200,1311552000,1311552000
A10 Networks, Communications Hardware ,118000000,operating,USA,SF Bay Area,4,1096588800,1104537600,1380758400
A8 Digital Music, Music ,50000000,operating,CHN,Shenzhen,2,946684800,1096588800,1134000000
AAIPharma Services, Biotechnology ,20000000,operating,USA,Wilmington. DE,1,283996800,1326240000,1326240000
AAMPP, Music ,350000,operating,USA,Ft. Lauderdale,1,959731200,1385856000,1385856000
Aarden Pharmaceuticals, Biotechnology ,500000,closed,USA,Indianapolis,1,1199145600,1294012800,1294012800
Aardvark, Search ,6000000,acquired,USA,SF Bay Area,2,1183248000,1167609600,1222819200
Aasonn, Human Resources ,20000000,operating,USA,Chicago,1,1136073600,1401840000,1401840000
Aastrom Biosciences, Biotechnology ,40000000,operating,USA,Detroit,1,599616000,1331251200,1331251200
aaTag, Social Media ,151022,operating,BRA,Sao Paulo,2,1275350400,1325116800,1335830400
Aava Mobile, Mobile ,4260000,operating,FIN,Helsinki,1,1230768000,1243987200,1243987200
Abacast, Analytics ,500000,operating,USA,Seattle,1,954633600,1289433600,1289433600
Abacus e-Media, Software ,3409315,operating,GBR,London,1,220924800,1375315200,1375315200
ABA English, Education ,3356695,operating,ESP,Barcelona,1,1167609600,1406592000,1406592000
Abakus, None ,825000,operating,USA,SF Bay Area,1,1356998400,1387929600,1387929600
Abattis Bioceuticals, Biotechnology ,400988,operating,CAN,Vancouver,3,1293840000,1288742400,1396828800
Abaxia, Software ,1770000,acquired,FRA,Neuilly-sur-seine,1,978307200,1131408000,1131408000
abaXX Technology, Software ,4540000,operating,DEU,Stuttgart,1,915148800,1141862400,1141862400
Abazab, Curated Web ,4400000,operating,USA,SF Bay Area,2,852076800,1146787200,1241395200
ABB, Technology ,2700000,operating,CHE,Zurich,1,567993600,1379894400,1379894400
AbbeyPost, E-Commerce ,1300000,operating,USA,New York City,6,1343779200,1375142400,1404172800
Abbott Labs, Health and Wellness ,6790000,operating,USA,Chicago,2,662688000,1237161600,1300147200
ABBYY Language Services, Business Services ,375000,operating,RUS,Moscow,1,1072915200,1348617600,1348617600
Abcam, Events ,78799653,operating,GBR,London,2,883612800,1307491200,1335484800
abcdexperts, Social Media ,147000,operating,CRI,Costa Rica,1,1280620800,1293840000,1293840000
AbCelex Technologies, Biotechnology ,2000000,operating,CAN,Toronto,1,1262304000,1398643200,1398643200
Abcellute, Biotechnology ,805908,closed,GBR,London,1,978307200,1190332800,1190332800
ABC Live, Advertising ,25000,closed,IND,Chandigarh,1,1196812800,1167955200,1167955200
Abeona Therapeutics, Biotechnology ,750000,operating,USA,Cleveland,1,1356998400,1387152000,1387152000
Abe's Market, E-Commerce ,19148000,operating,USA,Chicago,5,1251763200,1277769600,1391731200
AbGenomics, Biotechnology ,39610000,operating,USA,SF Bay Area,3,959817600,1340064000,1409097600
Abide Therapeutics, Biotechnology ,2250180,operating,USA,Newark,1,1293840000,1321574400,1321574400
Abigail Stewart, Fashion ,60000,operating,USA,New York City,1,1263513600,1392595200,1392595200
Ability Dynamics, Health Care ,1500000,operating,USA,Phoenix,1,1230768000,1329696000,1329696000
ABILITY Network, Health Care ,583000000,operating,USA,Twin Cities,4,946684800,1166054400,1396828800
AbilTo, Health and Wellness ,9000000,operating,USA,New York City,2,1199145600,1368489600,1395100800
Abine, Curated Web ,6467283,operating,USA,Boston,1,1199145600,1310428800,1310428800
Abingdon Health, Health Care ,4768678,operating,GBR,London,1,1199145600,1332720000,1332720000
Abiquo Group, Cloud Infrastructure ,14130737,operating,USA,SF Bay Area,4,1262304000,1291852800,1394582400
aBIZinaBOX, Accounting ,500000,operating,USA,Chicago,1,903312000,1223424000,1223424000
Ablative Solutions, Biotechnology ,25930577,operating,USA,Kalamazoo,5,1293840000,1325635200,1391472000
Able Planet, Hardware + Software ,12005448,operating,USA,Denver,5,1104537600,1250467200,1328054400
AbleSky, Software ,1273000,operating,USA,SF Bay Area,1,1167609600,1309305600,1309305600
ABL Farms, Sales and Marketing ,150000,operating,USA,Atlanta,1,1252454400,1384128000,1384128000
Abloomy, Cloud Computing ,3000000,operating,CHN,Beijing,1,1217548800,1391212800,1391212800
Abound Solar, Solar ,510000000,closed,USA,Loveland,2,1167609600,1278374400,1292371200
about.me, Identity Management ,17087500,operating,USA,SF Bay Area,3,1360022400,1261440000,1402358400
AboutOne, Curated Web ,3739403,operating,USA,Philadelphia,4,1275350400,1304208000,1403049600
AboutUs.org, Curated Web ,7618249,operating,USA,Portland. ME,3,1136073600,1227657600,1247702400
Above All Software, Software ,2100000,operating,USA,SF Bay Area,1,1009843200,1117584000,1117584000
Above Security, Information Security ,2500000,operating,CHE,Lausanne,1,928195200,1093996800,1093996800
ABOVE Solutions, Software ,450000,operating,USA,Lexington,1,1214870400,1313452800,1313452800
ABPathfinder, Health and Wellness ,960000,operating,USA,Overland Park,2,1275350400,1354665600,1385337600
Abroad101, Education ,50000,operating,USA,Boston,1,1178236800,1287619200,1287619200
ABS, Health Care ,132500,operating,USA,Twin Cities,1,1230768000,1348012800,1348012800
Absio, Software ,2757346,operating,USA,Denver,3,1235865600,1273104000,1360627200
ABSMaterials, Clean Technology ,4250000,operating,USA,Akron - Canton,2,1199145600,1277337600,1385251200
Absolicon Solar Concentrator, Clean Technology ,661000,operating,SWE,Vasternorrlands Lan,1,1167609600,1273622400,1273622400
Absolute Commerce, Software ,200000,operating,USA,Providence,1,1325376000,1399593600,1399593600
Absynth Biologics, Biotechnology ,1287963,operating,GBR,Sheffield,1,1167609600,1374105600,1374105600
ABT Molecular Imaging, Health Care ,27364818,operating,USA,Knoxville,9,1136073600,1254787200,1396828800
Abundance Generation, Finance ,4545754,operating,GBR,London,1,1230768000,1376265600,1376265600
Abzena, Biotechnology ,34300806,operating,GBR,London,1,1009843200,1404691200,1404691200
Acacia, Apps ,15000,operating,USA,Nashville,1,1331337600,1337472000,1337472000
Acacia Communications, Web Hosting ,23000000,operating,USA,Boston,2,1230768000,1323648000,1368576000
Acacia Interactive, Software ,259910,operating,USA,Nashville,1,1325376000,1364515200,1364515200
Acacia Living, Health and Wellness ,2338650,operating,USA,Phoenix,1,1262304000,1386720000,1386720000
Acacia Pharma, Biotechnology ,33500000,operating,GBR,London,2,1136073600,1301529600,1378166400
ACACIA Semiconductor, Semiconductors ,368000,operating,PRT,Setubal,1,1041379200,1117756800,1117756800
Academia.edu, Social Media ,17800000,operating,USA,SF Bay Area,4,1220227200,1193961600,1380153600
Academia RFID, Consulting ,4499999,operating,CAN,Montreal,1,1104537600,1343606400,1343606400
AcademixDirect, Advertising ,10000000,operating,USA,SF Bay Area,1,1072915200,1230768000,1230768000
AcadiaSoft, Finance ,4000000,operating,USA,Boston,1,1230768000,1262908800,1262908800
ACAL Energy, Clean Technology ,16424363,operating,GBR,Runcorn,3,1091318400,1228262400,1308096000
Acal Enterprise Solutions, Information Technology ,10720178,operating,GBR,Nottingham,1,631152000,1401753600,1401753600
Acamica, Entrepreneur ,131568,operating,ARG,Buenos Aires,2,1341100800,1380585600,1388534400
Acarix, Health Care ,4710960,operating,DNK,Hovedstaden,1,1230768000,1363305600,1363305600
ACB (India) Limited, None ,25090000,operating,IND,New Delhi,1,852076800,1206921600,1206921600
Acccess Technology Solutions, E-Commerce ,25478613,operating,USA,Salt Lake City,1,1009843200,1408492800,1408492800
Accedian Networks, Mobile ,31040000,operating,CAN,Montreal,3,1072915200,1141862400,1280880000
Accedo, Television ,1270000,operating,SWE,Stockholm,1,1072915200,1182211200,1182211200
Accela, Software ,50000000,operating,USA,SF Bay Area,2,915148800,1325376000,1381881600
Accelalox, Biotechnology ,430000,operating,USA,SF Bay Area,1,1104537600,1255132800,1255132800
Accelera Mobile Broadband, Mobile ,3033472,operating,USA,SF Bay Area,1,1230768000,1368144000,1368144000
Accelerated IO, Software ,3255325,operating,USA,Tulsa,2,852076800,1257379200,1332892800
